,Product Position,Promotion,Sales Volume,Name,Price,Terms,Section,Season,Material,Origin,revenue
46,Front of Store,True,1330,RIPPED DENIM JACKET,1330.0,jackets,WOMAN,Autumn,Cotton,Morocco,1768900.0
47,End-cap,True,880,TEXTURED POCKET JACKET,880.0,jackets,WOMAN,Winter,Polyester,India,774400.0
48,Front of Store,True,815,FAUX SUEDE PATCH JACKET,815.0,jackets,WOMAN,Autumn,Viscose,Argentina,664225.0
49,End-cap,True,851,PUFFER JACKET WITH POUCH POCKET,851.0,jackets,MAN,Autumn,Wool,India,724201.0
50,Front of Store,True,749,BOMBER JACKET,749.0,jackets,MAN,Autumn,Polyester,Morocco,561001.0
51,End-cap,True,1211,TEXTURED WEAVE OVERSHIRT,1211.0,jackets,WOMAN,Spring,Cotton,Bangladesh,1466521.0
52,Front of Store,True,899,STRAIGHT SUIT JACKET,899.0,jackets,WOMAN,Spring,Cotton,Cambodia,808201.0
53,Front of Store,True,908,HOODED QUILTED JACKET,908.0,jackets,MAN,Winter,Wool Blend,China,824464.0
54,End-cap,True,895,LIGHTWEIGHT PUFFER JACKET,895.0,jackets,WOMAN,Autumn,Acrylic,Bangladesh,801025.0
55,Front of Store,True,785,COTTON BLEND BOMBER JACKET,785.0,jackets,WOMAN,Autumn,Polyester,Vietnam,616225.0
56,Aisle,True,735,POCKET JACKET,735.0,jackets,MAN,Autumn,Viscose,Turkey,540225.0
57,End-cap,True,980,OVERSIZED BOMBER JACKET,980.0,jackets,WOMAN,Autumn,Cotton,India,960400.0
58,End-cap,True,964,EMBROIDERED PATCH JACKET,964.0,jackets,WOMAN,Autumn,Viscose,Bangladesh,929296.0
59,Front of Store,True,826,ACID WASH DENIM JACKET,826.0,jackets,MAN,Spring,Denim,Spain,682276.0
60,End-cap,True,845,VINTAGE EFFECT LEATHER BOMBER JACKET,845.0,jackets,WOMAN,Autumn,Cotton,Portugal,714025.0
61,Front of Store,True,923,TEXTURED DENIM JACKET LIMITED EDITION,923.0,jackets,WOMAN,Spring,Denim,Turkey,851929.0
62,Aisle,True,1297,WOOL BLEND JACKET,1297.0,jackets,MAN,Winter,Wool Blend,Vietnam,1682209.0
63,Aisle,True,919,COTTON - LINEN BLEND JACKET,919.0,jackets,WOMAN,Spring,Cotton,China,844561.0
64,End-cap,True,896,FLEECE BOMBER JACKET,896.0,jackets,WOMAN,Autumn,Cotton,Cambodia,802816.0
65,Aisle,True,815,ZIPPERED JACKET,815.0,jackets,WOMAN,Autumn,Viscose,India,664225.0
66,Aisle,True,1226,COTTON JACKET,1226.0,jackets,MAN,Autumn,Polyester,Turkey,1503076.0
67,End-cap,True,1012,WOOL BLEND TEXTURED JACKET,1012.0,jackets,WOMAN,Winter,Wool,China,1024144.0
68,Aisle,True,784,CONTRAST JACQUARD JACKET,784.0,jackets,MAN,Spring,Viscose,Turkey,614656.0
69,Front of Store,True,723,CROPPED OVERSHIRT,723.0,jackets,WOMAN,Spring,Cotton,Cambodia,522729.0
70,Aisle,True,1323,CONTRASTING PATCHES HOODED JACKET,1323.0,jackets,WOMAN,Spring,Cotton,China,1750329.0
71,End-cap,True,1457,UTILITY POCKET JACKET,1457.0,jackets,WOMAN,Autumn,Cotton,India,2122849.0
72,End-cap,True,789,,789.0,jackets,MAN,Spring,Polyester,Cambodia,622521.0
73,Aisle,True,891,LIGHTWEIGHT BOMBER JACKET,891.0,jackets,WOMAN,Spring,Wool Blend,China,793881.0
74,Front of Store,True,936,WOOL BLEND JACKET,936.0,jackets,WOMAN,Winter,Wool,Bangladesh,876096.0
75,Front of Store,True,1429,TECHNICAL PADDED JACKET,1429.0,jackets,MAN,Autumn,Polyester,China,2042041.0
76,Front of Store,True,797,MIXED COLLAR WAXED JACKET,797.0,jackets,MAN,Winter,Polyester,Portugal,635209.0
77,End-cap,True,1448,CONTRASTING PATCHES BOMBER JACKET,1448.0,jackets,WOMAN,Spring,Cotton,Turkey,2096704.0
78,Front of Store,True,1050,PADDED BOMBER JACKET,1050.0,jackets,WOMAN,Winter,Polyester,Spain,1102500.0
79,Aisle,True,920,TECHNICAL PADDED JACKET,920.0,jackets,WOMAN,Autumn,Wool Blend,China,846400.0
80,End-cap,True,687,POCKET DENIM JACKET,687.0,jackets,WOMAN,Autumn,Cotton,Bangladesh,471969.0
81,Aisle,True,1407,BOXY FIT DENIM JACKET,1407.0,jackets,WOMAN,Spring,Denim,Turkey,1979649.0
82,Aisle,True,890,FAUX SHEARLING PLAID JACKET,890.0,jackets,WOMAN,Autumn,Cotton,Brazil,792100.0
83,Front of Store,True,1395,EMBROIDERED FOREST JACKET,1395.0,jackets,MAN,Autumn,Cotton,China,1946025.0
84,Front of Store,True,1289,POCKET OVERSHIRT,1289.0,jackets,WOMAN,Summer,Linen,Spain,1661521.0
85,Aisle,True,739,BOUCLE TEXTURED VEST,739.0,jackets,MAN,Winter,Wool,Spain,546121.0
86,End-cap,True,1302,COLOR BLOCK PUFFER JACKET,1302.0,jackets,MAN,Autumn,Acrylic,Vietnam,1695204.0
87,Aisle,True,1530,LONGLINE QUILTED JACKET,1530.0,jackets,WOMAN,Winter,Wool Blend,Bangladesh,2340900.0
88,Aisle,True,962,WOOL BLEND SUIT JACKET,962.0,jackets,WOMAN,Autumn,Wool Blend,Bangladesh,925444.0
89,Aisle,True,1079,HOODED KNIT CARDIGAN,1079.0,jackets,MAN,Autumn,Acrylic,China,1164241.0
90,Aisle,True,903,HOODED TECHNICAL JACKET,903.0,jackets,WOMAN,Autumn,Polyester,China,815409.0
91,End-cap,True,925,HOUNDSTOOTH SUIT JACKET,925.0,jackets,WOMAN,Autumn,Viscose,China,855625.0
92,Aisle,True,1068,BOMBER JACKET,1068.0,jackets,WOMAN,Winter,Wool Blend,Turkey,1140624.0
93,Front of Store,True,708,HOODED TECHNICAL JACKET,708.0,jackets,WOMAN,Autumn,Wool Blend,Spain,501264.0
94,End-cap,True,1620,HOODED TECHNICAL JACKET,1620.0,jackets,WOMAN,Autumn,Viscose,Turkey,2624400.0
95,Front of Store,True,1014,WASHED EFFECT BOMBER JACKET,1014.0,jackets,WOMAN,Spring,Polyester,Spain,1028196.0
96,Front of Store,True,1275,WASHED TECHNICAL JACKET,1275.0,jackets,MAN,Autumn,Cotton,Bangladesh,1625625.0
97,End-cap,True,1177,100% FEATHER FILL PUFFER JACKET,1177.0,jackets,WOMAN,Autumn,Wool Blend,Morocco,1385329.0
98,Aisle,True,1827,PADDED BOMBER JACKET,1827.0,jackets,WOMAN,Winter,Cotton,India,3337929.0
99,Aisle,True,1232,POCKET JACKET,1232.0,jackets,WOMAN,Autumn,Polyester,China,1517824.0
100,Front of Store,True,1077,SLIM FIT SUIT JACKET,1077.0,jackets,MAN,Autumn,Polyester,India,1159929.0
101,Front of Store,True,1848,MIXED COLLAR JACKET,1848.0,jackets,WOMAN,Winter,Viscose,Spain,3415104.0
102,End-cap,True,1312,HOODED DENIM JACKET,1312.0,jackets,WOMAN,Autumn,Cotton,India,1721344.0
103,Aisle,True,1432,WAXED EFFECT PLAID JACKET,1432.0,jackets,MAN,Autumn,Viscose,Vietnam,2050624.0
104,Front of Store,True,864,WOOL BLEND FELT TEXTURE JACKET,864.0,jackets,WOMAN,Autumn,Wool Blend,Portugal,746496.0
105,Front of Store,True,1433,PRINTED DENIM OVERSHIRT,1433.0,jackets,WOMAN,Spring,Linen,Bangladesh,2053489.0
106,Front of Store,True,973,STRUCTURED TWILL OVERSHIRT,973.0,jackets,MAN,Winter,Wool,India,946729.0
107,Front of Store,True,980,COTTON OVERSHIRT,980.0,jackets,WOMAN,Summer,Cotton,Brazil,960400.0
108,Aisle,True,1495,REVERSIBLE PLAID OVERSHIRT,1495.0,jackets,WOMAN,Autumn,Cotton,Morocco,2235025.0
109,End-cap,True,1590,PLAID OVERSHIRT,1590.0,jackets,WOMAN,Summer,Linen,Spain,2528100.0
110,Aisle,True,1529,POCKET OVERSHIRT,1529.0,jackets,MAN,Summer,Linen,Turkey,2337841.0
111,End-cap,True,1525,100% LINEN OVERSHIRT,1525.0,jackets,WOMAN,Summer,Linen,China,2325625.0
112,Aisle,True,1518,PLAID OVERSHIRT,1518.0,jackets,WOMAN,Winter,Cotton,Bangladesh,2304324.0
113,Aisle,True,770,POCKET DENIM OVERSHIRT,770.0,jackets,WOMAN,Spring,Linen Blend,Bangladesh,592900.0
114,End-cap,True,1216,FAUX SUEDE OVERSHIRT,1216.0,jackets,MAN,Autumn,Polyester,Portugal,1478656.0
115,Aisle,True,872,PLAID OVERSHIRT,872.0,jackets,MAN,Autumn,Viscose,Bangladesh,760384.0
116,End-cap,True,1677,TEXTURED POCKET OVERSHIRT,1677.0,jackets,MAN,Winter,Polyester,Spain,2812329.0
117,End-cap,True,1314,POCKET OVERSHIRT,1314.0,jackets,WOMAN,Autumn,Wool Blend,China,1726596.0
118,End-cap,True,1560,OVERSHIRT,1560.0,jackets,WOMAN,Autumn,Cotton,China,2433600.0
119,Front of Store,True,937,PLAID OVERSHIRT,937.0,jackets,WOMAN,Autumn,Cotton,India,877969.0
120,End-cap,True,843,POCKET OVERSHIRT,843.0,jackets,WOMAN,Autumn,Viscose,Morocco,710649.0
121,End-cap,True,738,ZIPPERED WOOL BLEND OVERSHIRT,738.0,jackets,MAN,Winter,Wool Blend,Bangladesh,544644.0
122,End-cap,True,1404,GEOMETRIC JACQUARD OVERSHIRT,1404.0,jackets,WOMAN,Summer,Linen,Cambodia,1971216.0
123,Front of Store,True,942,PAINT PRINT OVERSHIRT,942.0,jackets,WOMAN,Autumn,Polyester,China,887364.0
124,Front of Store,True,887,PADDED CORDUROY OVERSHIRT,887.0,jackets,WOMAN,Autumn,Polyester,Spain,786769.0
125,Aisle,True,1501,PLAID TIE DYE OVERSHIRT,1501.0,jackets,WOMAN,Summer,Cotton,Bangladesh,2253001.0
126,Front of Store,True,798,OVERSHIRT WITH CONTRASTING TOPSTITCHING,798.0,jackets,WOMAN,Spring,Linen,Cambodia,636804.0
127,Front of Store,True,945,QUILTED STRUCTURED OVERSHIRT,945.0,jackets,MAN,Winter,Polyester,Vietnam,893025.0
128,End-cap,True,1323,TECHNICAL OVERSHIRT,1323.0,jackets,WOMAN,Winter,Viscose,Turkey,1750329.0
129,Aisle,True,1300,PLAID OVERSHIRT,1300.0,jackets,MAN,Summer,Cotton,Bangladesh,1690000.0
130,Aisle,True,953,SUEDE FISHERMAN SANDALS,953.0,shoes,WOMAN,Spring,Cotton,Portugal,908209.0
131,End-cap,True,1383,ZIPPER MULTIPIECE SNEAKERS,1383.0,shoes,WOMAN,Spring,Cotton,Bangladesh,1912689.0
132,Aisle,True,766,SUEDE LACELESS SNEAKERS,766.0,shoes,MAN,Summer,Cotton,Turkey,586756.0
133,End-cap,True,854,MULTICOLOR SNEAKERS,854.0,shoes,WOMAN,Winter,Polyester,India,729316.0
134,End-cap,True,828,RETRO RUNNING SNEAKERS,828.0,shoes,WOMAN,Autumn,Polyester,Bangladesh,685584.0
135,End-cap,True,963,SUEDE HIGH-TOPS,963.0,shoes,WOMAN,Winter,Polyester,Bangladesh,927369.0
136,End-cap,True,1467,SUEDE STRAP SANDALS,1467.0,shoes,MAN,Summer,Polyester,India,2152089.0
137,End-cap,True,1519,MULTIPIECE SNEAKERS,1519.0,shoes,WOMAN,Autumn,Polyester,Bangladesh,2307361.0
138,Front of Store,True,694,TOPSTITCH SNEAKERS,694.0,shoes,MAN,Winter,Cotton,Portugal,481636.0
139,Aisle,True,989,RETRO SNEAKERS,989.0,shoes,MAN,Summer,Viscose,Turkey,978121.0
140,Aisle,True,1510,RETRO HIGH TOP SNEAKERS,1510.0,shoes,WOMAN,Summer,Cotton,China,2280100.0
141,Aisle,True,1243,MULTI-PIECED RETRO SNEAKERS,1243.0,shoes,MAN,Autumn,Viscose,Portugal,1545049.0
142,Aisle,True,1413,TASSEL LEATHER LOAFERS,1413.0,shoes,WOMAN,Spring,Viscose,China,1996569.0
143,Front of Store,True,889,MOC-TOE SUEDE BOOTS,889.0,shoes,WOMAN,Summer,Cotton,Vietnam,790321.0
144,Aisle,True,980,STRAP SANDALS,980.0,shoes,WOMAN,Summer,Cotton,Morocco,960400.0
145,Aisle,True,1391,SUEDE RETRO SNEAKERS,1391.0,shoes,WOMAN,Spring,Cotton,India,1934881.0
146,End-cap,True,1255,HIKING BOOTS,1255.0,shoes,WOMAN,Spring,Viscose,Vietnam,1575025.0
147,Front of Store,True,1491,SUEDE SNEAKERS,1491.0,shoes,WOMAN,Summer,Cotton,China,2223081.0
148,End-cap,True,1230,FAUX SHEARLING LINED SUEDE BOOTS,1230.0,shoes,WOMAN,Summer,Viscose,Bangladesh,1512900.0
149,Front of Store,True,1063,CHUNKY SNEAKERS,1063.0,shoes,WOMAN,Summer,Polyester,Cambodia,1129969.0
150,Aisle,True,1374,DOUBLE STRAP SUEDE SANDALS,1374.0,shoes,MAN,Summer,Viscose,India,1887876.0
151,Front of Store,True,1585,CHUNKY SOLE CANVAS LACE-UP BOOTS,1585.0,shoes,MAN,Summer,Cotton,Vietnam,2512225.0
152,Aisle,True,1329,SUEDE PENNY LOAFERS,1329.0,shoes,WOMAN,Autumn,Viscose,Brazil,1766241.0
153,Front of Store,True,860,ADHERENT STRIPES SNEAKERS,860.0,shoes,WOMAN,Summer,Polyester,Bangladesh,739600.0
154,End-cap,True,712,MULTIPIECE SNEAKERS,712.0,shoes,MAN,Autumn,Cotton,Spain,506944.0
155,Front of Store,True,804,CHUNKY SOLE HIGH TOP SNEAKERS,804.0,shoes,MAN,Summer,Linen,Turkey,646416.0
156,Front of Store,True,1181,CONTRAST SOLE LEATHER SNEAKERS,1181.0,shoes,MAN,Autumn,Polyester,Portugal,1394761.0
157,End-cap,True,833,SUEDE RUNNING SNEAKERS,833.0,shoes,WOMAN,Spring,Cotton,China,693889.0
158,Aisle,True,931,WOVEN LEATHER SLIDES,931.0,shoes,WOMAN,Summer,Viscose,India,866761.0
159,Aisle,True,691,SUEDE SNEAKERS,691.0,shoes,MAN,Summer,Viscose,Turkey,477481.0
160,Aisle,True,1365,ASYMMETRIC CROPPED KNIT SWEATER,1365.0,sweaters,WOMAN,Autumn,Wool Blend,Turkey,1863225.0
161,End-cap,True,1484,KNIT SWEATER WITH PEARLS,1484.0,sweaters,MAN,Winter,Wool Blend,China,2202256.0
162,Front of Store,True,895,HIGH COLLAR KNIT SWEATER,895.0,sweaters,WOMAN,Winter,Acrylic,India,801025.0
163,End-cap,True,836,STRIPED KNIT SWEATER,836.0,sweaters,WOMAN,Autumn,Wool,Portugal,698896.0
164,End-cap,True,954,CABLE KNIT METALLIC SWEATER,954.0,sweaters,MAN,Winter,Wool Blend,Turkey,910116.0
165,Aisle,True,1532,ASYMMETRICAL WOOL AND SILK BLEND SWEATER,1532.0,sweaters,WOMAN,Winter,Wool,Pakistan,2347024.0
166,Aisle,True,1738,WOOL AND CASHMERE BLEND RIB SWEATER,1738.0,sweaters,WOMAN,Winter,Wool Blend,China,3020644.0
167,Aisle,True,962,ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER,962.0,sweaters,MAN,Winter,Wool,India,925444.0
168,End-cap,True,1470,MOCK NECK WOOL AND SILK BLEND KNIT TOP,1470.0,sweaters,WOMAN,Autumn,Wool Blend,Morocco,2160900.0
169,Front of Store,True,1129,CASHMERE BLEND KNIT SWEATER,1129.0,sweaters,WOMAN,Winter,Polyester,India,1274641.0
170,Aisle,True,1380,ALPACA BLEND OPEN KNIT SWEATER,1380.0,sweaters,MAN,Winter,Wool Blend,China,1904400.0
171,Aisle,True,1241,OVERSIZED KNIT SWEATER,1241.0,sweaters,MAN,Winter,Wool Blend,Turkey,1540081.0
172,End-cap,True,1420,WOOL BLEND KNIT SWEATER,1420.0,sweaters,WOMAN,Autumn,Wool,Vietnam,2016400.0
173,Front of Store,True,1663,SOFT JEWEL SWEATER,1663.0,sweaters,WOMAN,Winter,Wool,China,2765569.0
174,End-cap,True,1255,FAUX FUR JEWEL SWEATER,1255.0,sweaters,WOMAN,Autumn,Wool,Bangladesh,1575025.0
175,Front of Store,True,1125,METAL BEAD KNIT SWEATER,1125.0,sweaters,WOMAN,Winter,Wool Blend,Portugal,1265625.0
176,Aisle,True,1481,KNIT SWEATER WITH BUTTONS,1481.0,sweaters,WOMAN,Winter,Acrylic,India,2193361.0
177,Front of Store,True,1119,JEWEL KNIT SWEATER,1119.0,sweaters,MAN,Autumn,Wool Blend,Bangladesh,1252161.0
178,Front of Store,True,1515,KNIT SWEATER WITH PIPING,1515.0,sweaters,WOMAN,Winter,Wool Blend,China,2295225.0
179,End-cap,True,838,FINE KNIT CROP SWEATER,838.0,sweaters,MAN,Winter,Wool Blend,China,702244.0
180,End-cap,True,694,KNIT SWEATER WITH RIPS,694.0,sweaters,MAN,Autumn,Wool Blend,Spain,481636.0
181,End-cap,True,1564,GATHERED WAIST KNIT SWEATER,1564.0,sweaters,MAN,Winter,Acrylic,Bangladesh,2446096.0
182,End-cap,True,934,KNIT V-NECK SWEATER,934.0,sweaters,WOMAN,Autumn,Wool Blend,India,872356.0
183,Front of Store,True,1694,BASIC FOIL KNIT SWEATER,1694.0,sweaters,WOMAN,Winter,Wool,Portugal,2869636.0
184,End-cap,True,1381,CONTRAST TOPSTITCHING CROP KNIT SWEATER,1381.0,sweaters,WOMAN,Autumn,Polyester,Spain,1907161.0
185,Aisle,True,890,STRIPED CROP KNIT SWEATER,890.0,sweaters,WOMAN,Autumn,Polyester,China,792100.0
186,Front of Store,True,1502,BASIC KNIT SWEATER,1502.0,sweaters,WOMAN,Autumn,Wool,Turkey,2256004.0
187,Aisle,True,843,V-NECK KNIT SWEATER,843.0,sweaters,MAN,Winter,Wool,Morocco,710649.0
188,Aisle,True,1724,FOIL KNIT CROP SWEATER,1724.0,sweaters,WOMAN,Winter,Wool Blend,China,2972176.0
189,Front of Store,True,795,BASIC 100% WOOL SWEATER,795.0,sweaters,MAN,Autumn,Wool Blend,Portugal,632025.0
190,End-cap,True,1287,COLORBLOCK KNIT CROP SWEATER,1287.0,sweaters,WOMAN,Autumn,Wool,Vietnam,1656369.0
191,Front of Store,True,998,FINE KNIT SWEATER,998.0,sweaters,WOMAN,Winter,Wool,Bangladesh,996004.0
192,Front of Store,True,813,KNIT OPEN BACK PEARLY SWEATER,813.0,sweaters,MAN,Winter,Wool Blend,Turkey,660969.0
193,End-cap,True,1416,KNIT PEARL SWEATER,1416.0,sweaters,WOMAN,Winter,Acrylic,China,2005056.0
194,Aisle,True,982,STRIPED TEXTURED OVERSHIRT,982.0,jackets,WOMAN,Autumn,Polyester,Morocco,964324.0
195,Aisle,True,919,FLEECE OVERSHIRT,919.0,jackets,WOMAN,Autumn,Cotton,Brazil,844561.0
196,Aisle,True,1279,PLAID OVERSHIRT,1279.0,jackets,MAN,Spring,Cotton,India,1635841.0
197,Front of Store,True,752,BAGGY FIT JEANS LIMITED EDITION,752.0,jeans,WOMAN,Autumn,Cotton,Bangladesh,565504.0
198,End-cap,True,957,BAGGY BELTED JEANS,957.0,jeans,WOMAN,Autumn,Cotton,China,915849.0
199,End-cap,True,853,BAGGY FIT JEANS,853.0,jeans,WOMAN,Winter,Cotton,Cambodia,727609.0
200,End-cap,True,983,BAGGY FIT JEANS,983.0,jeans,WOMAN,Winter,Denim,Argentina,966289.0
201,Front of Store,True,845,FLARED FIT CARGO JEANS,845.0,jeans,MAN,Autumn,Cotton,Spain,714025.0
202,End-cap,True,1325,PLEATED WIDE FIT JEANS,1325.0,jeans,MAN,Autumn,Cotton,India,1755625.0
203,Aisle,True,1026,DENIM SHIRT,1026.0,jeans,WOMAN,Autumn,Cotton,Bangladesh,1052676.0
204,Aisle,True,1420,RIPPED STRAIGHT FIT JEANS,1420.0,jeans,WOMAN,Spring,Cotton,Bangladesh,2016400.0
205,Aisle,True,1528,TEXTURED SWEATER,1528.0,sweaters,MAN,Winter,Wool,Brazil,2334784.0
206,End-cap,True,1252,PURL KNIT SWEATER,1252.0,sweaters,MAN,Autumn,Acrylic,Portugal,1567504.0
207,End-cap,True,1225,BRAIDED COLOR BLOCK SWEATER,1225.0,sweaters,MAN,Autumn,Wool Blend,Bangladesh,1500625.0
208,End-cap,True,1581,CONTRAST INTERIOR SWEATER,1581.0,sweaters,WOMAN,Winter,Acrylic,Cambodia,2499561.0
209,Front of Store,True,981,ABSTRACT JACQUARD SWEATER,981.0,sweaters,MAN,Winter,Wool,India,962361.0
210,Aisle,True,1501,BASIC SLIM FIT T-SHIRT,1501.0,t-shirts,WOMAN,Summer,Linen Blend,Cambodia,2253001.0
211,Aisle,True,867,CROPPED WASHED T-SHIRT,867.0,t-shirts,WOMAN,Spring,Linen,India,751689.0
212,Aisle,True,1489,BASIC HEAVYWEIGHT T-SHIRT,1489.0,t-shirts,WOMAN,Summer,Cotton,Morocco,2217121.0
213,End-cap,True,1511,HEART PRINT T-SHIRT,1511.0,t-shirts,WOMAN,Summer,Linen,China,2283121.0
214,End-cap,True,1356,TEXT T-SHIRT,1356.0,t-shirts,MAN,Spring,Linen,China,1838736.0
215,End-cap,True,822,PRINTED CROPPED FIT SHIRT LIMITED EDITION,822.0,t-shirts,MAN,Spring,Linen,China,675684.0
216,End-cap,True,811,RIBBED KNIT T-SHIRT,811.0,t-shirts,MAN,Summer,Cotton,Morocco,657721.0
217,Aisle,True,1013,OVERSIZE FIT T-SHIRT,1013.0,t-shirts,WOMAN,Summer,Linen,Morocco,1026169.0
218,Front of Store,True,1611,BASIC MEDIUM WEIGHT T-SHIRT,1611.0,t-shirts,WOMAN,Spring,Linen Blend,Turkey,2595321.0
219,Aisle,True,820,STRUCTURED TEXT T-SHIRT,820.0,t-shirts,WOMAN,Spring,Cotton,Portugal,672400.0
220,Aisle,True,895,ABSTRACT PRINT T-SHIRT,895.0,t-shirts,WOMAN,Spring,Cotton,Morocco,801025.0
221,Aisle,True,862,RAISED TEXT T-SHIRT LIMITED EDITION,862.0,t-shirts,MAN,Summer,Linen,India,743044.0
